arrival_time,runtime,gpus
0.0,1673.999999999999,1
1.0,1683.999999999999,1
39.0,1952.999999999999,1
849.9999999999991,11487.000000000002,1
5150.999999999999,14287.0,1
5150.999999999999,3596.0,1
9120.0,3586.0,1
11873.0,321579.0,1
11874.0,321524.0,1
28388.000000000004,66223.0,1
28388.000000000004,304963.0,1
33880.0,6011.0,1
33880.0,170759.0,1
39381.0,169885.0,1
40864.0,552.0,1
44894.0,172395.0,1
48748.0,207423.00000000003,1
48748.0,460957.00000000006,1
48750.0,460970.00000000006,1
50402.0,246550.0,1
51634.0,1568.0,1
51643.0,430479.00000000006,1
51654.0,1548.0,1
51654.0,1733270.0,1
58759.00000000001,5283.999999999993,1
58759.00000000001,10736.999999999993,1
62194.0,3051.0,1
69008.0,5092.0,1
72401.0,2824.0,1
75785.0,140.0,1
84238.0,76096.0,1
87915.0,3480.0,1
87915.0,17964.0,1
88987.0,244309.0,1
88988.0,139253.0,1
88988.0,5810.0,1
88988.0,207952.0,1
88988.0,244195.0,1
89499.0,10731.0,1
89499.0,3876.0,1
92893.0,7381.0,1
94484.0,448353.0,1
94486.0,897558.0,1
97037.0,3598.0,1
99714.0,32282.0,1
104016.0,1863.0,1
113421.0,157.0,1
120218.0,447.0,1
120218.0,11462.0,1
123320.0,429.0,1
123629.0,2709.0,1
123629.0,2709.0,1
130490.0,13281.0,1
130490.0,8304.0,1
133906.0,2708.0,1
137333.0,5556.0,1
138466.0,5723.0,1
138469.0,5647.0,1
143977.0,11257.0,1
143979.0,321696.00000000006,1
144138.0,3956.0,1
144138.0,18627.0,1
147527.0,14270.0,1
154311.0,2709.0,1
154981.0,183714.0,1
157688.0,2709.0,1
161079.0,7670.0,1
161080.0,14344.0,1
167856.0,3663.0,1
167857.0,5176.0,1
171234.0,17348.0,1
174338.0,3350.0,1
174632.0,15729.0,1
178587.0,13679.0,1
183023.0,3594.0,1
188316.0,5649.0,1
188319.0,318.0,1
189248.0,5044.0,1
191746.0,6030.0,1
191746.0,2565.0,1
195155.0,9251.0,1
198572.0,5626.0,1
199079.0,233600.0,1
199079.0,227810.0,1
201986.0,180637.0,1
201986.0,179779.0,1
204635.0,368440.0,1
205401.0,1147.0,1
205401.0,1147.0,1
206527.0,22726.00000000003,1
206537.0,176476.0,1
206545.0,23754.00000000003,1
206546.0,886303.0,1
206572.0,120917.0,1
206573.0,3666.0,1
206573.0,120681.0,1
206573.0,886307.0,1
206573.0,120691.0,1
206573.0,120872.0,1
206573.0,176564.0,1
206574.0,120642.0,1
206574.0,120855.0,1
206574.0,176573.0,1
208321.0,284.0,1
208321.0,1810.0,1
208322.0,295.0,1
208322.0,288.0,1
208354.0,321.0,1
208354.0,409.0,1
209117.0,87941.0,1
209119.0,514.0,1
209119.0,8169.0,1
209119.0,368353.0,1
209119.0,368438.0,1
209119.0,368525.0,1
210004.0,2708.0,1
210004.0,2708.0,1
210004.0,2708.0,1
210004.0,3652.0,1
210004.0,3543.0,1
210004.0,3597.0,1
210004.0,3606.0,1
210004.0,3630.0,1
210004.0,98644.0,1
211455.0,5969.0,1
213432.0,3472.0,1
213432.0,6900.0,1
213432.0,6913.0,1
213432.0,113736.0,1
213432.0,23887.00000000003,1
213717.0,652.0,1
216816.0,20603.00000000003,1
216816.0,3557.0,1
216816.0,20610.00000000003,1
216816.0,20524.00000000003,1
216816.0,3692.0,1
216817.0,3617.0,1
216818.0,20777.00000000003,1
216966.0,360329.0,1
216966.0,80075.0,1
216966.0,121875.0,1
220249.0,13803.00000000003,1
220249.0,10325.00000000003,1
220249.0,13688.00000000003,1
220249.0,10328.00000000003,1
220249.0,13758.00000000003,1
220249.0,10312.00000000003,1
228004.0,22507.00000000003,1
230412.00000000003,3745.0,1
230412.00000000003,3490.0,1
231668.00000000003,1474.0,1
233394.00000000003,4325.0,1
233404.00000000003,93952.99999999997,1
233810.00000000003,3537.0,1
233810.00000000003,65034.99999999997,1
237207.00000000003,61464.99999999997,1
237207.00000000003,4184.0,1
237207.00000000003,61522.99999999997,1
