arrival_time,runtime,gpus,priority
10251599.0,1542.0,1,0.5
10251600.0,83.0,1,0.5
10251606.0,34.0,0,0.5
10251609.0,907.0,1,0.5
10251634.0,173.0,8,5.0
10251640.0,890.0,8,5.0
10251642.0,21.0,0,0.5
10251666.0,33.0,0,0.5
10251700.0,4365.0,8,5.0
10251701.0,29.0,0,0.5
10251702.0,30134.0,1,0.5
10251704.0,264045.0,8,5.0
10251708.0,5601.0,4,2.5
10251710.0,2175.0,1,0.5
10251715.0,29844.0,0,0.5
10251724.0,862.0,8,5.0
10251737.0,30099.0,1,0.5
10251742.0,23.0,0,0.5
10251758.0,69597.0,8,5.0
10251767.0,32.0,0,0.5
10251800.0,36.0,0,0.5
10251810.0,1506238.0,1,0.5
10251812.0,156.0,8,5.0
10251816.0,5493.0,1,0.5
10251822.0,1860.0,1,0.5
10251822.0,585.0,1,0.5
10251839.0,19611.0,2,1.0
10251848.0,27.0,0,0.5
10251876.0,35.0,0,0.5
10251882.0,386.0,1,0.5
10251913.0,37.0,0,0.5
10251952.0,23.0,0,0.5
10251975.0,238.0,8,5.0
10251977.0,33.0,0,0.5
10252012.0,1645.0,1,0.5
10252016.0,23.0,0,0.5
10252041.0,33.0,0,0.5
10252082.0,17.0,0,0.5
10252101.0,34.0,0,0.5
10252115.0,1935.0,1,0.5
10252136.0,29.0,0,0.5
10252157.0,661.0,8,5.0
10252167.0,34.0,0,0.5
10252204.0,26.0,0,0.5
10252214.0,798.0,8,5.0
10252232.0,32.0,0,0.5
10252266.0,297395.0,8,5.0
10252266.0,25.0,0,0.5
10252293.0,37.0,0,0.5
10252332.0,32.0,0,0.5
10252365.0,35.0,0,0.5
10252402.0,33.0,0,0.5
10252415.0,949.0,1,0.5
10252441.0,43.0,0,0.5
10252444.0,109494.0,1,0.5
10252448.0,102068.0,1,0.5
10252473.0,6570.0,1,0.5
10252486.0,35.0,0,0.5
10252489.0,346.0,8,5.0
10252491.0,209.0,4,2.5
10252523.0,37.0,0,0.5
10252562.0,33.0,0,0.5
10252568.0,21850.0,1,0.5
10252581.0,1639.0,8,5.0
10252585.0,4630.0,8,5.0
10252597.0,33.0,0,0.5
10252602.0,3239.0,8,5.0
10252624.0,1198.0,8,5.0
10252632.0,32.0,0,0.5
10252659.0,18103.0,2,1.0
10252662.0,481.0,8,5.0
10252667.0,1928.0,1,0.5
10252675.0,25.0,0,0.5
10252690.0,1652.0,1,0.5
10252693.0,1710043.0,8,5.0
10252702.0,494.0,0,0.5
10252705.0,626917.0,0,0.5
10252705.0,96940.0,0,0.5
10252744.0,168207.0,8,5.0
10252811.0,76957.0,1,0.5
10252837.0,1940.0,1,0.5
10252849.0,7210.0,2,1.0
10252873.0,424.0,1,0.5
10252935.0,747.0,1,0.5
10252939.0,1529.0,8,5.0
10252950.0,1963.0,1,0.5
10252999.0,334.0,1,0.5
10253017.0,665.0,1,0.5
10253020.0,678.0,8,5.0
10253026.0,23.0,8,5.0
10253029.0,1444.0,1,0.5
10253037.0,645.0,1,0.5
10253141.0,1377.0,1,0.5
10253191.0,12545.0,8,5.0
10253197.0,34.0,0,0.5
10253212.0,17008.0,8,5.0
10253233.0,33.0,0,0.5
10253268.0,23.0,0,0.5
10253302.0,26.0,0,0.5
10253330.0,37.0,0,0.5
10253345.0,4824.0,8,5.0
10253369.0,36.0,0,0.5
10253370.0,929.0,1,0.5
10253381.0,737.0,8,5.0
10253407.0,32.0,0,0.5
10253440.0,35.0,0,0.5
10253447.0,235.0,1,0.5
10253477.0,33.0,0,0.5
10253496.0,1751.0,1,0.5
10253512.0,34.0,0,0.5
10253545.0,2252.0,1,0.5
10253547.0,32.0,0,0.5
10253591.0,16.0,0,0.5
10253610.0,35.0,0,0.5
10253646.0,1652.0,2,1.0
10253648.0,32.0,0,0.5
10253659.0,1637.0,1,0.5
10253677.0,989.0,8,5.0
10253678.0,11489.0,1,0.5
10253682.0,35.0,0,0.5
10253718.0,47.0,0,0.5
10253767.0,23.0,0,0.5
10253772.0,6125.0,1,0.5
10253775.0,2637.0,8,5.0
10253789.0,177.0,8,5.0
10253792.0,33.0,0,0.5
10253797.0,25.0,8,5.0
10253806.0,988.0,8,5.0
10253836.0,17.0,0,0.5
10253850.0,14576.0,8,5.0
10253854.0,3753.0,1,0.5
10253855.0,35.0,0,0.5
10253878.0,11312.0,1,0.5
10253892.0,24.0,0,0.5
10253893.0,694.0,8,5.0
10253894.0,969.0,1,0.5
10253897.0,74099.0,1,0.5
10253919.0,39.0,0,0.5
10253937.0,7286.0,1,0.5
10253940.0,938.0,1,0.5
10253960.0,36.0,0,0.5
10253982.0,1229.0,1,0.5
10253998.0,38.0,0,0.5
10254038.0,32.0,0,0.5
10254051.0,1631.0,1,0.5
10254067.0,4321.0,1,0.5
10254072.0,33.0,0,0.5
10254088.0,931.0,8,5.0
10254098.0,2544.0,1,0.5
10254107.0,35.0,0,0.5
10254132.0,5235.0,8,5.0
10254144.0,37.0,0,0.5
10254162.0,2307.0,0,0.5
10254184.0,38.0,0,0.5
10254233.0,22.0,0,0.5
10254236.0,2182.0,8,5.0
10254257.0,34.0,0,0.5
10254267.0,3895.0,0,0.5
10254293.0,83.0,0,0.5
10254300.0,919.0,1,0.5
10254327.0,1533617.0,4,2.5
10254337.0,303.0,8,5.0
10254342.0,1042.0,1,0.5
10254343.0,1685.0,1,0.5
10254344.0,68254.0,8,5.0
10254377.0,33.0,0,0.5
10254387.0,713.0,8,5.0
10254412.0,33.0,0,0.5
10254457.0,16.0,0,0.5
10254462.0,9769.0,8,5.0
10254475.0,26.0,0,0.5
10254489.0,2567.0,1,0.5
10254503.0,32.0,0,0.5
10254511.0,2838.0,8,5.0
10254519.0,1356.0,1,0.5
10254551.0,2159978.0,4,2.5
10254592.0,2061.0,1,0.5
10254596.0,1921.0,1,0.5
10254686.0,71969.0,4,2.5
10254711.0,289.0,8,5.0
10254718.0,75328.0,4,2.5
10254740.0,266.0,8,5.0
10254745.0,1448.0,8,5.0
10254786.0,701457.0,1,0.5
10254787.0,1668412.0,1,0.5
10254787.0,5642812.0,1,0.5
10254788.0,2014011.0,1,0.5
10254828.0,720.0,1,0.5
10254888.0,572.0,8,5.0
10254904.0,11167.0,8,5.0
10255030.0,2465.0,1,0.5
10255076.0,1807.0,1,0.5
10255108.0,798.0,8,5.0
10255120.0,12492.0,8,5.0
10255146.0,4261.0,1,0.5
10255172.0,51715.0,1,0.5
10255221.0,911.0,1,0.5
10255227.0,8711.0,2,1.0
10255255.0,32045.0,8,5.0
10255282.0,12987.0,1,0.5
10255287.0,11917.0,4,2.5
10255299.0,1634.0,2,1.0
10255305.0,1651.0,1,0.5
10255346.0,69241.0,1,0.5
10255351.0,23146.0,1,0.5
10255365.0,63651.0,1,0.5
10255392.0,65363.0,1,0.5
10255412.0,6960.0,4,2.5
10255438.0,3648.0,8,5.0
10255438.0,565.0,8,5.0
10255482.0,14381.0,2,1.0
10255527.0,8856.0,4,2.5
10255552.0,17764.0,1,0.5
10255598.0,8344.0,4,2.5
10255644.0,280592.0,8,5.0
10255655.0,5641944.0,1,0.5
10255656.0,1521445.0,1,0.5
10255658.0,37491.0,1,0.5
10255681.0,1441.0,8,5.0
10255689.0,149052.0,1,0.5
10255690.0,2205.0,1,0.5
10255797.0,9486.0,1,0.5
10255798.0,2279.0,1,0.5
10255837.0,752.0,1,0.5
10255876.0,1381.0,1,0.5
10255907.0,771.0,8,5.0
10255920.0,347.0,1,0.5
10255942.0,63590.0,2,1.0
10256003.0,2158565.0,4,2.5
10256005.0,1097.0,1,0.5
10256033.0,1679.0,1,0.5
10256098.0,71899.0,2,1.0
10256133.0,912.0,1,0.5
10256173.0,584.0,1,0.5
10256176.0,2436.0,1,0.5
10256177.0,159033.0,8,5.0
10256233.0,2471.0,1,0.5
10256246.0,188.0,8,5.0
10256250.0,108150.0,8,5.0
10256369.0,15081.0,1,0.5
10256523.0,1907.0,1,0.5
10256551.0,180.0,8,5.0
10256576.0,36400.0,8,5.0
10256577.0,1092.0,1,0.5
10256591.0,273.0,8,5.0
10256627.0,1695.0,1,0.5
10256666.0,188.0,8,5.0
10256685.0,110.0,8,5.0
10256688.0,522.0,1,0.5
10256796.0,127.0,8,5.0
10256929.0,97221.0,1,0.5
10256929.0,1773.0,1,0.5
10256930.0,337.0,8,5.0
10256935.0,1644.0,2,1.0
10256936.0,331239.0,8,5.0
10256948.0,5640651.0,1,0.5
10256957.0,2263.0,1,0.5
10256995.0,3886.0,8,5.0
10257018.0,418.0,4,2.5
10257027.0,3860.0,8,5.0
10257047.0,911.0,1,0.5
10257099.0,341066.0,2,1.0
10257110.0,160773.0,1,0.5
10257128.0,283.0,1,0.5
10257178.0,654.0,4,2.5
10257258.0,1356.0,1,0.5
