arrival_time,runtime,gpus,priority
7218013.0,310.0,0,0.5
7218033.0,5343.0,8,5.0
7218053.0,1062.0,8,5.0
7218087.0,229.0,1,0.5
7218087.0,230.0,1,0.5
7218091.0,226.0,1,0.5
7218107.0,1008.0,8,5.0
7218154.0,29.0,1,0.5
7218219.0,7908.0,1,0.5
7218219.0,7895.0,1,0.5
7218258.0,138.0,1,0.5
7218263.0,1792.0,1,0.5
7218330.0,37.0,1,0.5
7218357.0,3325.0,1,0.5
7218358.0,181.0,0,0.5
7218460.0,211939.0,1,0.5
7218464.0,2957.0,1,0.5
7218466.0,137.0,0,0.5
7218532.0,367425.0,1,0.5
7218638.0,913.0,1,0.5
7218658.0,428.0,1,0.5
7218697.0,139.0,1,0.5
7218707.0,1381.0,8,5.0
7218708.0,170.0,1,0.5
7218726.0,755.0,1,0.5
7218749.0,15473.0,8,5.0
7218760.0,3577.0,1,0.5
7218789.0,125210.0,8,5.0
7218809.0,189.0,0,0.5
7218829.0,94.0,1,0.5
7218833.0,3722.0,8,5.0
7218855.0,2826.0,1,0.5
7218868.0,1590.0,1,0.5
7218897.0,3116.0,1,0.5
7218924.0,148.0,0,0.5
7218951.0,2985.0,1,0.5
7218986.0,4266.0,8,5.0
7219017.0,1861.0,1,0.5
7219018.0,3290.0,1,0.5
7219118.0,1577.0,8,5.0
7219118.0,1553.0,8,5.0
7219127.0,4400.0,1,0.5
7219129.0,130.0,1,0.5
7219145.0,140.0,1,0.5
7219251.0,135.0,0,0.5
7219314.0,32.0,1,0.5
7219378.0,155.0,0,0.5
7219444.0,3246.0,1,0.5
7219482.0,1051.0,1,0.5
7219503.0,37.0,1,0.5
7219503.0,24299.0,1,0.5
7219552.0,913.0,1,0.5
7219552.0,1006.0,1,0.5
7219563.0,138.0,1,0.5
7219573.0,816.0,1,0.5
7219575.0,124.0,1,0.5
7219646.0,31.0,1,0.5
7219699.0,138.0,0,0.5
7219705.0,373.0,1,0.5
7219705.0,373.0,1,0.5
7219712.0,367.0,1,0.5
7219712.0,367.0,1,0.5
7219712.0,367.0,1,0.5
7219777.0,1650157.0,1,0.5
7219820.0,1208.0,4,2.5
7219828.0,159.0,0,0.5
7219849.0,67.0,1,0.5
7219867.0,8677732.0,1,0.5
7219871.0,66.0,1,0.5
7219978.0,31.0,1,0.5
7219986.0,21791.0,1,0.5
7219992.0,737.0,1,0.5
7220018.0,37581.0,2,1.0
7220032.0,1081.0,8,5.0
7220057.0,1813.0,1,0.5
7220079.0,1420.0,1,0.5
7220151.0,138.0,0,0.5
7220189.0,72.0,1,0.5
7220225.0,35471.0,1,0.5
7220278.0,204.0,0,0.5
7220307.0,97.0,1,0.5
7220380.0,742.0,8,5.0
7220423.0,2370.0,1,0.5
7220470.0,486.0,8,5.0
7220472.0,912.0,1,0.5
7220475.0,6676.0,1,0.5
7220525.0,68.0,1,0.5
7220534.0,40364.0,1,0.5
7220559.0,2015.0,1,0.5
7220607.0,134.0,0,0.5
7220634.0,32.0,1,0.5
7220652.0,220.0,1,0.5
7220674.0,1047.0,8,5.0
7220689.0,910.0,1,0.5
7220737.0,141.0,0,0.5
7220763.0,138.0,1,0.5
7220764.0,911.0,1,0.5
7220831.0,23105.0,1,0.5
7220874.0,119.0,1,0.5
7220879.0,1059.0,1,0.5
7220902.0,20560.0,2,1.0
7220947.0,348.0,1,0.5
7220953.0,342.0,1,0.5
7220954.0,341.0,1,0.5
7220965.0,31.0,1,0.5
