episode,job_id,user_id,priority,gpus,runtime,arrival_time,start_time,finish_time,jct,wait_time,flops
102,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
102,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
102,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
102,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
103,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
103,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
103,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
103,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
104,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
104,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
104,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
104,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
105,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
105,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
105,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
105,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
106,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
106,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
106,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
106,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
107,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
107,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
107,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
107,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
108,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
108,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
108,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
108,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
109,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
109,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
109,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
109,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
110,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
110,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
110,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
110,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
111,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
111,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
111,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
111,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
112,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
112,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
112,3,0,1.0,1,11487.000000000002,849.9999999999991,850.0,12337.000000000002,11487.000000000004,9.094947017729282e-13,1.1487000000000002e+16
112,6,0,1.0,1,3586.0,9120.0,9121.0,12707.0,3587.0,1.0,3586000000000000.0
113,2,0,1.0,1,1952.999999999999,39.0,40.0,1992.999999999999,1953.999999999999,1.0,1952999999999999.0
113,5,0,1.0,1,3596.0,5150.999999999999,5152.0,8748.0,3597.000000000001,1.0000000000009095,3596000000000000.0
