algo,seed,episode,avg_jct,makespan,utilization,total_reward,num_jobs
sac,0,102,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,103,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,104,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,105,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,106,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,107,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,108,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,109,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,110,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,111,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,112,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,113,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,114,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,115,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,116,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,117,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,118,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,119,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,120,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,121,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,122,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,123,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,124,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,125,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,126,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,127,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,128,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,129,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,130,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,131,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,132,-8814.513157894737,12707.0,-0.9414861325028949,-172612.4948571429,76
sac,0,133,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,134,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,125,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,126,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,127,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
sac,0,128,5156.250000000001,12707.0,0.028980089714330685,-144905.86628571435,4
