job_id,user_id,arrival_time,start_time,finish_time,runtime,gpus,priority,flops
68,0,9606865.0,9606866.0,9626291.0,19425.0,1,1.0,1.9425e+16
85,0,9619193.0,9619194.0,9626993.0,7799.0,1,5.0,7799000000000000.0
86,0,9619193.0,9619195.0,9626994.0,7799.0,1,5.0,7799000000000000.0
87,0,9619193.0,9619196.0,9626995.0,7799.0,1,5.0,7799000000000000.0
88,0,9619193.0,9619197.0,9626996.0,7799.0,1,5.0,7799000000000000.0
80,0,9613509.0,9613510.0,9632812.0,19302.0,1,1.0,1.9302e+16
81,0,9613509.0,9613511.0,9632813.0,19302.0,1,1.0,1.9302e+16
82,0,9613509.0,9613512.0,9632814.0,19302.0,1,1.0,1.9302e+16
83,0,9613509.0,9613513.0,9632815.0,19302.0,1,1.0,1.9302e+16
92,0,9633309.0,9633310.0,9635485.0,2175.0,1,1.0,2175000000000000.0
93,0,9633309.0,9633311.0,9635486.0,2175.0,1,1.0,2175000000000000.0
94,0,9633653.0,9633654.0,9636025.0,2371.0,1,5.0,2371000000000000.0
95,0,9633653.0,9633655.0,9636026.0,2371.0,1,5.0,2371000000000000.0
96,0,9635541.0,9635542.0,9641611.0,6069.0,1,1.0,6069000000000000.0
97,0,9635541.0,9635543.0,9641612.0,6069.0,1,1.0,6069000000000000.0
98,0,9635541.0,9635544.0,9641613.0,6069.0,1,1.0,6069000000000000.0
90,0,9632082.0,9632083.0,9645162.0,13079.0,1,1.0,1.3079e+16
91,0,9632390.0,9632391.0,9649779.0,17388.0,1,1.0,1.7388e+16
99,0,9650004.0,9650005.0,9657723.0,7718.0,1,1.0,7718000000000000.0
100,0,9660650.0,9660651.0,9661883.0,1232.0,1,5.0,1232000000000000.0
101,0,9660650.0,9660652.0,9661884.0,1232.0,1,5.0,1232000000000000.0
102,0,9660650.0,9660653.0,9661885.0,1232.0,1,5.0,1232000000000000.0
103,0,9660650.0,9660654.0,9661886.0,1232.0,1,5.0,1232000000000000.0
104,0,9663496.0,9663497.0,9663590.0,93.0,1,5.0,93000000000000.0
105,0,9663496.0,9663498.0,9663591.0,93.0,1,5.0,93000000000000.0
106,0,9663496.0,9663499.0,9663592.0,93.0,1,5.0,93000000000000.0
107,0,9663991.0,9663992.0,9665201.0,1209.0,1,1.0,1209000000000000.0
108,0,9663991.0,9663993.0,9665202.0,1209.0,1,1.0,1209000000000000.0
109,0,9664902.0,9664903.0,9667658.0,2755.0,1,1.0,2755000000000000.0
110,0,9664902.0,9664904.0,9667659.0,2755.0,1,1.0,2755000000000000.0
111,0,9668983.0,9668984.0,9669823.0,839.0,1,1.0,839000000000000.0
112,0,9668983.0,9668985.0,9669824.0,839.0,1,1.0,839000000000000.0
113,0,9668983.0,9668986.0,9669825.0,839.0,1,1.0,839000000000000.0
114,0,9669924.0,9669925.0,9673561.0,3636.0,1,5.0,3636000000000000.0
115,0,9669924.0,9669926.0,9673562.0,3636.0,1,5.0,3636000000000000.0
116,0,9669924.0,9669927.0,9673563.0,3636.0,1,5.0,3636000000000000.0
134,0,9676596.0,9676597.0,9676832.0,235.0,1,1.0,235000000000000.0
135,0,9676596.0,9676598.0,9676833.0,235.0,1,1.0,235000000000000.0
136,0,9676769.0,9676770.0,9676982.0,212.0,1,1.0,212000000000000.0
137,0,9676769.0,9676771.0,9676983.0,212.0,1,1.0,212000000000000.0
138,0,9676769.0,9676772.0,9676984.0,212.0,1,1.0,212000000000000.0
